"season","variable","n","slope_per_year_GLS_AR1","slope_per_decade_GLS_AR1","se_GLS_AR1","ci_low_decade_GLS_AR1","ci_high_decade_GLS_AR1","p_GLS_AR1","slope_per_year_OLS","p_OLS_HAC","slope_per_year_Sen","slope_per_decade_Sen","p_MK","tau_MK"
"Annual","NDVI",25,0.00322221554015674,0.0322221554015674,0.000531379639196679,0.0218071144733125,0.0426371963298223,0.00000348192303543416,0.0034806149326055,0.0000000000042062606334681,0.00351439099641733,0.0351439099641733,0.00000000145804841953164,0.866666666666666
"Annual","PPT",25,1.02576858282724,10.2576858282724,4.03927207287186,-68.9120468000161,89.4274184565608,0.801791540298421,0.891948431893916,0.827845156542627,1.43814311383772,14.3814311383772,0.623812436069269,0.0733333333333333
"Annual","Temp",25,0.0302650964003504,0.302650964003504,0.00865276402408481,0.133056789131442,0.472245138875566,0.00193872217310273,0.0301245987527775,0.0000211284900528832,0.0297035319553331,0.297035319553331,0.000501619166858256,0.5
"Annual","Sradi",25,-4.70896822764887,-47.0896822764887,4.73838180658608,-139.961965685576,45.7826011325984,0.330664868694425,-5.44392868632263,0.19743599114928,-5.45074046666888,-54.5074046666888,0.413686226993168,-0.12
"Dry","NDVI",25,0.00500188975441069,0.0500188975441069,0.000636828957160285,0.0375370499837653,0.0625007451044484,0.0000000586989237106582,0.00491977591546316,0.000000000543701919522701,0.00495728584786327,0.0495728584786327,0.0000000237990784632481,0.8
"Dry","PPT",25,2.22892639314002,22.2892639314002,2.11177353672394,-19.101497388389,63.6800252511894,0.302169140190732,2.26788741174568,0.297577836968336,1.57776590340683,15.7776590340683,0.498219385345291,0.1
"Dry","Temp",25,0.0303689981149726,0.303689981149726,0.0129677309205879,0.0495224551062023,0.55785750719325,0.0282125763103451,0.0315883859603714,0.00157397822755677,0.0353402716161194,0.353402716161194,0.0882107097040933,0.246666666666667
"Dry","Sradi",25,46.0483894776105,460.483894776105,48.906418131067,-498.081900592808,1419.04969014502,0.356202476435475,6.40183140475462,0.473231122634166,-1.61270174947752,-16.1270174947752,0.72609516183253,-0.0533333333333333
"Wet","NDVI",25,0.00249451611094826,0.0249451611094826,0.000260716676323455,0.0198351142535429,0.0300552079654223,0.00000000174743186700556,0.0025165647582143,0.000000000000915010016994046,0.0024733806384872,0.024733806384872,0.0000000181733599823231,0.806666666666667
"Wet","PPT",25,0.587396636660388,5.87396636660388,3.24179587738623,-57.6652328301662,69.413165563374,0.857801929337831,0.591637522524114,0.873740652303224,-0.367336488296473,-3.67336488296473,0.944141999801307,-0.0133333333333333
"Wet","Temp",25,0.0369217305264582,0.369217305264582,0.00521779339303637,0.266948554761069,0.471486055768095,0.000000329258330325921,0.0372464874075651,0.00000202208292215869,0.0429499394331011,0.429499394331011,0.0000650502739440015,0.573333333333333
"Wet","Sradi",25,-2.30852597051396,-23.0852597051396,2.73160281765403,-76.6246749311585,30.4541555208794,0.406751027313052,-2.51681660714216,0.338553549206465,-3.94916476247486,-39.4916476247486,0.128996011667487,-0.22
